source_image,mask_label,label,area_px,gd_mean,gd_max,gd_image_otsu,gd_threshold,gd_positive_fraction,predicted_label
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,76,1,168,252.70833333333334,668.0,155.67578125,170.0,0.8392857142857143,1
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,81,0,137,198.91240875912408,403.0,155.67578125,170.0,0.6496350364963503,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,88,0,137,192.78832116788323,497.0,155.67578125,170.0,0.6423357664233577,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,85,0,139,202.86330935251797,476.0,155.67578125,170.0,0.6258992805755396,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,63,0,192,198.640625,532.0,155.67578125,170.0,0.6510416666666666,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,49,0,165,183.3090909090909,444.0,155.67578125,170.0,0.5333333333333333,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,46,0,164,191.40853658536585,380.0,155.67578125,170.0,0.573170731707317,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001__zmax_channels.ome.tif,225,1,195,1236.9589743589743,3917.0,2315.75,345.0,0.9897435897435898,1
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001__zmax_channels.ome.tif,57,0,238,330.7436974789916,715.0,2315.75,345.0,0.3949579831932773,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001__zmax_channels.ome.tif,64,0,226,333.1592920353982,750.0,2315.75,345.0,0.3938053097345133,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001__zmax_channels.ome.tif,31,0,205,283.9951219512195,760.0,2315.75,345.0,0.2048780487804878,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001__zmax_channels.ome.tif,32,0,211,270.70142180094786,558.0,2315.75,345.0,0.16587677725118483,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001__zmax_channels.ome.tif,23,0,263,255.96577946768062,709.0,2315.75,345.0,0.13688212927756654,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G008_0001__zmax_channels.ome.tif,169,1,112,2692.3839285714284,6373.0,4582.669921875,208.0,0.9910714285714286,1
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G008_0001__zmax_channels.ome.tif,273,1,157,3337.6305732484075,8648.0,4582.669921875,208.0,1.0,1
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G008_0001__zmax_channels.ome.tif,197,1,49,6329.836734693878,13210.0,4582.669921875,208.0,1.0,1
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G009_0001__zmax_channels.ome.tif,245,1,156,898.1794871794872,2710.0,1541.23046875,203.0,0.782051282051282,1
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G009_0001__zmax_channels.ome.tif,233,1,119,1936.3025210084033,5669.0,1541.23046875,203.0,1.0,1
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,143,0,187,34.2620320855615,131.0,49.765625,35.0,0.40641711229946526,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,117,0,167,35.78443113772455,115.0,49.765625,35.0,0.41916167664670656,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,125,0,143,36.62937062937063,163.0,49.765625,35.0,0.4125874125874126,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,130,0,181,34.33701657458563,99.0,49.765625,35.0,0.43646408839779005,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,73,0,192,34.984375,109.0,49.765625,35.0,0.40625,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,50,0,136,37.75735294117647,133.0,49.765625,35.0,0.49264705882352944,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,209,0,139,36.46762589928058,119.0,49.765625,35.0,0.4460431654676259,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,221,0,249,39.18473895582329,105.0,49.765625,35.0,0.5140562248995983,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,216,0,130,43.5,140.0,49.765625,35.0,0.5846153846153846,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,218,0,141,37.333333333333336,107.0,49.765625,35.0,0.45390070921985815,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,246,0,150,37.18,145.0,49.765625,35.0,0.4533333333333333,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,251,0,150,37.2,103.0,49.765625,35.0,0.41333333333333333,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,220,0,185,35.37837837837838,145.0,49.765625,35.0,0.4594594594594595,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,295,0,148,41.87162162162162,184.0,49.765625,35.0,0.5202702702702703,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,170,0,166,43.795180722891565,129.0,49.765625,35.0,0.5602409638554217,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G015_0001__zmax_channels.ome.tif,208,0,182,33.967032967032964,131.0,49.765625,35.0,0.45054945054945056,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,136,0,196,50.80612244897959,200.0,44.98046875,37.0,0.5561224489795918,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,121,0,159,47.16981132075472,112.0,44.98046875,37.0,0.5031446540880503,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,129,0,162,49.333333333333336,138.0,44.98046875,37.0,0.5123456790123457,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,131,0,159,50.21383647798742,123.0,44.98046875,37.0,0.5031446540880503,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,95,0,152,46.83552631578947,126.0,44.98046875,37.0,0.40789473684210525,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,125,0,162,43.46913580246913,109.0,44.98046875,37.0,0.4012345679012346,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,151,0,192,45.473958333333336,106.0,44.98046875,37.0,0.4583333333333333,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,189,0,169,52.05917159763314,304.0,44.98046875,37.0,0.5562130177514792,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,201,0,149,53.09395973154363,110.0,44.98046875,37.0,0.6308724832214765,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,219,0,150,46.666666666666664,124.0,44.98046875,37.0,0.44,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,217,0,167,47.91616766467066,137.0,44.98046875,37.0,0.49700598802395207,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,193,0,162,47.44444444444444,133.0,44.98046875,37.0,0.4691358024691358,0
20260701_GD_9911-9912-9913-9914-9915_20x_A01_G016_0001__zmax_channels.ome.tif,192,0,138,49.29710144927536,133.0,44.98046875,37.0,0.5362318840579711,0
