threshold_method,threshold_value,positive_fraction_cutoff,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,precision,f1
percentile,50.0,0.7165464743589743,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,50.5,0.7165464743589743,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,51.0,0.7158431592738161,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,51.5,0.7158431592738161,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,52.0,0.7121935242373199,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,52.5,0.7121935242373199,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,53.0,0.7064618826363793,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,53.5,0.7032567544312511,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,54.0,0.7032567544312511,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,54.5,0.6935759085039661,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,55.0,0.6935759085039661,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,55.5,0.6831225262433316,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,56.0,0.6831225262433316,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,56.5,0.6831225262433316,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,57.0,0.6831225262433316,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,57.5,0.6767122698330752,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,58.0,0.673507141627947,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,58.5,0.673507141627947,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,59.0,0.6551835454713153,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,59.5,0.6519784172661871,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,60.0,0.6519784172661871,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,60.5,0.6501677852348993,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,61.0,0.6469626570297711,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,61.5,0.6436069523317846,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,62.0,0.6436069523317846,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,62.5,0.6404018241266564,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,63.0,0.6370461194286698,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,63.5,0.6370461194286698,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,64.0,0.6275825493451392,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,64.5,0.6250642343268242,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,65.0,0.618508309364014,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,65.5,0.6155321188878236,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,66.0,0.6095797379354426,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,66.5,0.6029890373415553,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,67.0,0.599391915039397,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,67.5,0.5886005481329222,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,68.0,0.5886005481329222,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,68.5,0.579051044878383,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,69.0,0.5760748544021925,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,69.5,0.5701224734498116,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,70.0,0.5701224734498116,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,70.5,0.5671462829736211,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,71.0,0.5468054128126071,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,71.5,0.5468054128126071,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,72.0,0.5396111682082905,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,72.5,0.5330378554299418,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,73.0,0.5330378554299418,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,73.5,0.526464542651593,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,74.0,0.5205121616992121,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,74.5,0.5205121616992121,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,75.0,0.510341726618705,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,75.5,0.5043893456663241,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,76.0,0.4971951010620076,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,76.5,0.4971951010620076,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,77.0,0.4971951010620076,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,77.5,0.49062178828365877,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,78.0,0.4876455978074683,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,78.5,0.4780960945529291,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,79.0,0.47511990407673865,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,79.5,0.457755224391915,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,80.0,0.4518028434395341,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,80.5,0.4482057211373758,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,81.0,0.4386562178828366,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,81.5,0.43505909558067835,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,82.0,0.4314619732785201,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,82.5,0.421291538198013,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,83.0,0.421291538198013,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,83.5,0.4003297362110312,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,84.0,0.3878040424803015,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,84.5,0.384827852004111,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,85.0,0.3818516615279205,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,85.5,0.3752783487495718,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,86.0,0.368705035971223,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,86.5,0.368705035971223,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,87.0,0.3597764645426516,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,87.5,0.3347250770811922,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,88.0,0.3347250770811922,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,88.5,0.3287726961288112,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,89.0,0.32579650565262075,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,89.5,0.3228203151764303,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,90.0,0.31686793422404935,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,90.5,0.3109155532716684,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,91.0,0.28400137033230555,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,91.5,0.27445186707776636,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,92.0,0.2678785542994176,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,92.5,0.2553528605686879,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,93.0,0.24877954779033917,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,93.5,0.23563292223364166,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,94.0,0.22608341897910245,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,94.5,0.21591298389859542,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,95.0,0.1902406646111682,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,95.5,0.18131209318259678,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,96.0,0.17411784857828025,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,96.5,0.15558085650367529,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,97.0,0.14891814389989572,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,97.5,0.12872559095580677,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,98.0,0.11979701952723536,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,98.5,0.10158150851581507,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,99.0,0.08028670047900818,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,99.1,0.0715909090909091,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,99.19999999999999,0.06763191763191763,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,99.29999999999998,0.06167953667953668,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,99.39999999999998,0.055727155727155725,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,99.49999999999997,0.0467985842985843,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,99.59999999999997,0.043364518364518365,7,40,0,0,1.0,1.0,1.0,1.0,1.0
percentile,99.69999999999996,0.02862092862092862,6,40,0,1,0.8571428571428571,1.0,0.9285714285714286,1.0,0.923076923076923
percentile,99.79999999999995,0.029214929214929214,5,40,0,2,0.7142857142857143,1.0,0.8571428571428572,1.0,0.8333333333333333
percentile,99.89999999999995,0.015554396941258253,5,40,0,2,0.7142857142857143,1.0,0.8571428571428572,1.0,0.8333333333333333
otsu,,0.7627551020408163,2,39,1,5,0.2857142857142857,0.975,0.6303571428571428,0.6666666666666666,0.4
