annotation_id,Area,Mean,Min,Max,X,Y,Ch,Counter,Count,label,source_csv,source_image,label_rule,gd_image_otsu,gd_r0_mean,gd_r0_max,gd_r0_mean_over_otsu,gd_r0_mean_percentile,gd_r1_mean,gd_r1_max,gd_r1_mean_over_otsu,gd_r1_mean_percentile,gd_r2_mean,gd_r2_max,gd_r2_mean_over_otsu,gd_r2_mean_percentile,gd_r3_mean,gd_r3_max,gd_r3_mean_over_otsu,gd_r3_mean_percentile,gd_r5_mean,gd_r5_max,gd_r5_mean_over_otsu,gd_r5_mean_percentile,reference_image_otsu,reference_r0_mean,reference_r0_max,reference_r0_mean_over_otsu,reference_r0_mean_percentile,reference_r1_mean,reference_r1_max,reference_r1_mean_over_otsu,reference_r1_mean_percentile,reference_r2_mean,reference_r2_max,reference_r2_mean_over_otsu,reference_r2_mean_percentile,reference_r3_mean,reference_r3_max,reference_r3_mean_over_otsu,reference_r3_mean_percentile,reference_r5_mean,reference_r5_max,reference_r5_mean_over_otsu,reference_r5_mean_percentile
1,0,305,305,305,842.0,544.0,2,0,2,1,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,first_csv_reversed,155.67578125,171.0,171.0,1.0984367550749004,0.5174694061279297,168.6,240.0,1.0830200988633227,0.4846229553222656,177.30769230769232,276.0,1.138954889989944,0.580073356628418,212.0,409.0,1.3618046320226833,0.7651491165161133,226.8395061728395,425.0,1.4571277841127872,0.8086528778076172,341.021484375,412.0,412.0,1.2081350263168444,0.8485689163208008,478.0,668.0,1.401671219853038,0.928706169128418,495.84615384615387,850.0,1.4540026847719156,0.9414939880371094,477.1034482758621,850.0,1.3990422015500386,0.9279718399047852,438.71604938271605,850.0,1.2864762763752662,0.8881978988647461
2,0,90,90,90,922.167,511.5,2,0,2,1,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,first_csv_reversed,155.67578125,170.0,170.0,1.0920131483200763,0.5062198638916016,179.2,211.0,1.1511103304644568,0.5956525802612305,200.23076923076923,347.0,1.2862037217543703,0.6810922622680664,227.6206896551724,420.0,1.4621457996066578,0.8108415603637695,224.35802469135803,420.0,1.4411877229063723,0.8044309616088867,341.021484375,142.0,142.0,0.4163960527596891,0.024315834045410156,264.0,450.0,0.7741447741447741,0.3598442077636719,212.6153846153846,450.0,0.6234662458438682,0.17055606842041016,210.75862068965517,450.0,0.6180215333820349,0.16208171844482422,211.96296296296296,450.0,0.6215531064015912,0.1663961410522461
3,0,233,233,233,590.167,571.5,2,1,6,0,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,first_csv_reversed,155.67578125,239.0,239.0,1.5352420144029308,0.8505744934082031,250.0,313.0,1.6059016887059945,0.889988899230957,210.23076923076923,313.0,1.35043978930261,0.7524900436401367,210.20689655172413,313.0,1.3502864406002404,0.7524900436401367,198.91358024691357,350.0,1.2777426177002955,0.6692476272583008,341.021484375,918.0,918.0,2.6919125100943284,0.9985933303833008,747.8,918.0,2.192823720096447,0.9948091506958008,608.1538461538462,918.0,1.783330007106231,0.98211669921875,654.2758620689655,1160.0,1.9185766646581692,0.9883270263671875,648.2469135802469,1160.0,1.9008975776652544,0.9876842498779297
4,0,338,338,338,612.833,630.167,2,1,6,0,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,first_csv_reversed,155.67578125,138.0,138.0,0.886457732165709,0.3006620407104492,188.6,266.0,1.2114922339598022,0.6319561004638672,171.69230769230768,266.0,1.1028838674436245,0.5174694061279297,168.55172413793105,291.0,1.0827099937096416,0.4846229553222656,190.62962962962962,322.0,1.224529776558482,0.6373786926269531,341.021484375,681.0,681.0,1.9969416333052696,0.9908237457275391,591.6,681.0,1.7347880620607894,0.9786109924316406,573.9230769230769,710.0,1.6829528437920045,0.9745054244995117,567.5862068965517,820.0,1.6643708179758336,0.9727964401245117,573.2222222222222,945.0,1.6808976808976808,0.9745054244995117
5,0,479,479,479,511.5,596.833,2,1,6,0,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,first_csv_reversed,155.67578125,143.0,143.0,0.9185757659398289,0.3571910858154297,181.2,261.0,1.1639575439741048,0.6076726913452148,202.46153846153845,277.0,1.300533306053593,0.6944446563720703,191.27586206896552,300.0,1.2286809196209865,0.6403379440307617,198.53086419753086,351.0,1.275284200300301,0.6692476272583008,341.021484375,397.0,397.0,1.1641495277858913,0.8234777450561523,507.2,691.0,1.48729632365996,0.9486894607543945,465.2307692307692,691.0,1.3642271544369446,0.9184446334838867,525.1724137931035,963.0,1.5399980290262423,0.957575798034668,497.8024691358025,1141.0,1.459739318325177,0.9428434371948242
6,0,275,275,275,558.167,431.5,2,1,6,0,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,first_csv_reversed,155.67578125,301.0,301.0,1.9335056332020175,0.9619483947753906,217.4,347.0,1.396492108498733,0.7874927520751953,202.0,347.0,1.2975685644744437,0.6944446563720703,195.27586206896552,347.0,1.2543753466402825,0.6548080444335938,198.1358024691358,347.0,1.2727464791132101,0.6692476272583008,341.021484375,432.0,432.0,1.2667823576914485,0.8813037872314453,495.4,613.0,1.4526943981489435,0.9414939880371094,567.5384615384615,847.0,1.6642308110839579,0.9727964401245117,536.551724137931,1042.0,1.5733663382566205,0.9625186920166016,497.41975308641975,1042.0,1.4586170545766506,0.9428434371948242
7,0,338,338,338,287.5,340.833,2,1,6,0,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,first_csv_reversed,155.67578125,181.0,181.0,1.16267282262314,0.6076726913452148,147.0,181.0,0.9442701929591247,0.38326263427734375,156.15384615384616,257.0,1.0030709009455905,0.40906333923339844,190.55172413793105,444.0,1.224029342315769,0.6373786926269531,187.49382716049382,444.0,1.2043866146359476,0.6292991638183594,341.021484375,557.0,557.0,1.6333281787827243,0.9696617126464844,508.8,671.0,1.4919881101699284,0.9491262435913086,567.3076923076923,799.0,1.6635541111065586,0.9727964401245117,554.2068965517242,910.0,1.6251377756079952,0.9686832427978516,508.6296296296296,910.0,1.4914885217915521,0.9491262435913086
8,0,192,192,192,562.167,327.5,2,1,6,0,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G002_0001__zmax_channels.ome.tif,first_csv_reversed,155.67578125,170.0,170.0,1.0920131483200763,0.5062198638916016,195.2,302.0,1.2538880385416404,0.6548080444335938,182.53846153846155,380.0,1.1725552945536386,0.6125812530517578,188.10344827586206,380.0,1.2083025809505104,0.6319561004638672,190.93827160493828,380.0,1.226512371235897,0.6373786926269531,341.021484375,295.0,295.0,0.8650481377754105,0.4997682571411133,420.0,506.0,1.2315939588666862,0.8632822036743164,504.38461538461536,793.0,1.4790405839356888,0.9470996856689453,483.0689655172414,793.0,1.4165352848738428,0.932499885559082,504.0617283950617,793.0,1.4780937609220437,0.9470996856689453
9,0,691,691,691,262.0,634.0,5,1,1,1,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001__zmax_channels.ome.tif,counter_0_negative_1_positive,2315.75,1477.0,1477.0,0.6378063262441973,0.9904794692993164,1533.4,2020.0,0.6621612868401167,0.9909200668334961,1473.3076923076924,2513.0,0.6362118934719604,0.9904451370239258,1410.4137931034484,3325.0,0.6090527013293526,0.9899206161499023,1266.5802469135801,3325.0,0.5469417022189702,0.9885463714599609,470.640625,691.0,691.0,1.4682115467613956,0.9571456909179688,758.0,973.0,1.6105706981839913,0.9714012145996094,721.9230769230769,973.0,1.5339157704949014,0.9644632339477539,769.5862068965517,1187.0,1.6351886471690618,0.9730682373046875,766.0493827160494,1224.0,1.6276737324068644,0.9726104736328125
10,0,945,945,945,432.833,176.833,5,0,5,0,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001.csv,20260701_GD_9911-9912-9913-9914-9915_20x_A01_G007_0001__zmax_channels.ome.tif,counter_0_negative_1_positive,2315.75,304.0,304.0,0.13127496491417467,0.35951709747314453,350.4,426.0,0.15131167008528554,0.5218448638916016,348.0769230769231,443.0,0.15030850613275315,0.5138378143310547,356.2758620689655,510.0,0.15384901741075915,0.5442276000976562,351.91358024691357,591.0,0.1519652726964973,0.525822639465332,470.640625,945.0,945.0,2.0079014640948176,0.9892454147338867,972.2,1207.0,2.0656950300454833,0.990595817565918,935.0769230769231,1354.0,1.9868172728967524,0.9886980056762695,891.0,1816.0,1.8931642375751137,0.9859333038330078,874.4074074074074,1850.0,1.8579089032261238,0.984710693359375
