feature,threshold,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,precision,f1
gd_r3_mean_percentile,0.7624287605285645,9,40,10,0,1.0,0.8,0.9,0.47368421052631576,0.6428571428571429
gd_r5_mean_percentile,0.783846378326416,9,40,10,0,1.0,0.8,0.9,0.47368421052631576,0.6428571428571429
gd_r3_mean,211.10344827586206,9,35,15,0,1.0,0.7,0.85,0.375,0.5454545454545454
gd_r3_max,397.5,9,35,15,0,1.0,0.7,0.85,0.375,0.5454545454545454
gd_r5_mean,211.6358024691358,9,35,15,0,1.0,0.7,0.85,0.375,0.5454545454545454
gd_r5_max,400.0,9,34,16,0,1.0,0.68,0.8400000000000001,0.36,0.5294117647058824
gd_r0_mean,156.5,9,31,19,0,1.0,0.62,0.81,0.32142857142857145,0.4864864864864865
gd_r0_max,156.5,9,31,19,0,1.0,0.62,0.81,0.32142857142857145,0.4864864864864865
gd_r2_mean,174.5,9,31,19,0,1.0,0.62,0.81,0.32142857142857145,0.4864864864864865
gd_r2_max,271.0,9,31,19,0,1.0,0.62,0.81,0.32142857142857145,0.4864864864864865
gd_r1_mean,157.8,9,30,20,0,1.0,0.6,0.8,0.3103448275862069,0.4736842105263158
gd_r1_max,196.0,9,30,20,0,1.0,0.6,0.8,0.3103448275862069,0.4736842105263158
gd_r1_mean_percentile,0.9111003875732422,7,40,10,2,0.7777777777777778,0.8,0.788888888888889,0.4117647058823529,0.5384615384615384
gd_r2_mean_percentile,0.8675432205200195,7,40,10,2,0.7777777777777778,0.8,0.788888888888889,0.4117647058823529,0.5384615384615384
gd_r0_mean_percentile,0.9707074165344238,6,39,11,3,0.6666666666666666,0.78,0.7233333333333334,0.35294117647058826,0.46153846153846156
gd_r3_mean_over_otsu,1.3560455363114619,3,45,5,6,0.3333333333333333,0.9,0.6166666666666667,0.375,0.35294117647058826
gd_r5_mean_over_otsu,1.2764806963533142,3,44,6,6,0.3333333333333333,0.88,0.6066666666666667,0.3333333333333333,0.3333333333333333
gd_r0_mean_over_otsu,0.14348969249774587,9,7,43,0,1.0,0.14,0.5700000000000001,0.17307692307692307,0.29508196721311475
gd_r2_mean_over_otsu,1.108079147152388,4,34,16,5,0.4444444444444444,0.68,0.5622222222222222,0.2,0.2758620689655173
gd_r1_mean_over_otsu,0.21589353416887672,9,6,44,0,1.0,0.12,0.56,0.16981132075471697,0.2903225806451613
